acceptability,Air Bag-Frontal-Driver,Air Bag-Frontal-Passenger,Basic Miles/km,Basic Years,Body Style,brake type,Brakes-ABS,Car year,drivetrain,Gas Mileage city,Gas Mileage Hwy,MRP,Parking Aid,Passenger Capacity,Tire Pressure Monitor
unaccepted,0,0,36000,3,1,4,0,2007,3,19,28,19250,0,4,1
unaccepted,0,0,36000,3,1,4,0,2007,3,19,28,20245,0,4,1
unaccepted,0,0,36000,3,1,4,1,2007,3,17,25,25695,0,4,1
unaccepted,0,0,36000,3,1,4,1,2007,3,17,25,26875,0,4,1
accepted,0,0,36000,3,4,4,0,2007,3,19,28,24075,0,4,1
unaccepted,0,0,36000,3,4,4,0,2007,3,19,28,25070,0,4,1
accepted,0,0,36000,3,4,4,1,2007,3,17,25,30520,0,4,1
accepted,0,0,36000,3,4,4,1,2007,3,17,25,31700,0,4,1
accepted,0,0,50000,4,4,4,1,2011,3,17,24,62500,0,2,1
accepted,0,0,50000,4,4,4,1,2011,3,18,28,47450,0,2,1
accepted,0,0,50000,4,4,4,1,2011,3,19,26,53350,0,2,1
accepted,0,0,50000,4,7,4,1,2013,1,18,27,38600,0,5,1
accepted,0,0,50000,4,7,4,1,2013,1,22,33,32500,0,5,1
unaccepted,0,0,50000,4,7,4,1,2013,3,24,34,30800,0,5,1
unaccepted,1,0,50000,4,1,4,1,2013,1,17,25,40400,0,4,1
unaccepted,1,0,50000,4,1,4,1,2013,1,18,27,46800,0,4,1
unaccepted,1,0,50000,4,1,4,1,2013,3,18,26,52100,0,4,1
accepted,1,0,50000,4,1,4,1,2013,3,18,27,45100,0,4,1
unaccepted,1,0,50000,4,1,4,1,2013,3,18,28,38700,0,4,1
accepted,1,0,50000,4,3,4,1,2013,1,21,31,45150,0,5,1
unaccepted,1,0,50000,4,3,4,1,2013,1,22,33,38850,0,5,1
unaccepted,1,0,50000,4,3,4,1,2013,1,23,35,34550,0,5,1
accepted,1,0,50000,4,3,4,1,2013,3,22,34,36850,0,5,1
accepted,1,0,50000,4,3,4,1,2013,3,23,33,43150,0,5,1
unaccepted,1,0,50000,4,3,4,1,2013,3,24,36,32550,0,5,1
accepted,1,0,50000,4,3,4,1,2013,3,25,33,49650,0,5,1
accepted,1,0,50000,4,4,4,1,2013,3,18,26,61100,0,4,1
unaccepted,1,0,50000,4,4,4,1,2013,3,18,27,47900,0,4,1
accepted,1,0,50000,4,4,4,1,2013,3,23,33,54100,0,4,1
accepted,1,0,50000,4,7,4,1,2013,1,12,17,88850,1,5,1
accepted,1,1,36000,3,1,1,0,2015,3,15,23,26995,0,5,1
accepted,1,1,36000,3,1,1,0,2015,3,15,23,29995,1,5,1
accepted,1,1,36000,3,1,1,1,2014,3,14,23,39485,0,5,1
accepted,1,1,36000,3,1,1,1,2014,3,14,23,44685,1,5,1
accepted,1,1,36000,3,1,1,1,2014,3,15,23,30495,0,5,1
unaccepted,1,1,36000,3,1,1,1,2014,3,15,23,30495,1,5,0
accepted,1,1,36000,3,1,1,1,2014,3,15,24,55110,0,4,1
unaccepted,1,1,36000,3,1,1,1,2014,3,15,26,31210,0,4,1
accepted,1,1,36000,3,1,1,1,2014,3,15,26,35310,0,4,1
unaccepted,1,1,36000,3,1,1,1,2014,3,18,27,26495,0,5,1
accepted,1,1,36000,3,1,1,1,2014,3,18,27,26495,1,5,1
unaccepted,1,1,36000,3,1,1,1,2014,3,19,29,22510,0,4,1
accepted,1,1,36000,3,1,1,1,2014,3,19,29,26610,0,4,1
accepted,1,1,36000,3,1,1,1,2014,3,22,31,22790,0,5,1
accepted,1,1,36000,3,1,1,1,2014,3,22,31,22990,0,5,1
unaccepted,1,1,36000,3,1,1,1,2014,3,22,31,24290,0,5,1
accepted,1,1,36000,3,1,1,1,2014,3,22,31,24490,0,5,1
unaccepted,1,1,36000,3,1,1,1,2014,3,28,36,20290,0,5,1
accepted,1,1,36000,3,1,1,1,2015,3,13,21,58295,1,5,1
accepted,1,1,36000,3,1,1,1,2015,3,14,23,37995,1,5,1
accepted,1,1,36000,3,1,1,1,2015,3,14,23,45695,1,5,1
accepted,1,1,36000,3,1,1,1,2015,3,15,23,26995,0,5,1
unaccepted,1,1,36000,3,1,1,1,2015,3,15,23,29995,1,5,1
accepted,1,1,36000,3,1,1,1,2015,3,15,25,32300,0,4,1
unaccepted,1,1,36000,3,1,1,1,2015,3,15,25,36300,0,4,1
unaccepted,1,1,36000,3,1,1,1,2015,3,15,25,46170,0,4,1
unaccepted,1,1,36000,3,1,1,1,2015,3,17,28,23800,0,4,1
accepted,1,1,36000,3,1,1,1,2015,3,19,30,26995,0,5,1
accepted,1,1,36000,3,1,1,1,2015,3,19,30,29995,1,5,1
accepted,1,1,36000,3,1,1,1,2015,3,22,31,22890,0,5,1
unaccepted,1,1,36000,3,1,1,1,2015,3,22,31,23090,0,5,1
unaccepted,1,1,36000,3,1,1,1,2015,3,22,31,24390,0,5,1
accepted,1,1,36000,3,1,1,1,2015,3,22,31,24590,0,5,1
unaccepted,1,1,36000,3,1,1,1,2015,3,22,31,25300,0,4,1
accepted,1,1,36000,3,1,1,1,2015,3,22,31,29300,0,4,1
accepted,1,1,36000,3,1,1,1,2015,3,28,36,20390,0,5,1
unaccepted,1,1,36000,3,1,1,1,2016,3,13,21,62495,1,5,1
unaccepted,1,1,36000,3,1,1,1,2016,3,14,21,47795,0,4,1
unaccepted,1,1,36000,3,1,1,1,2016,3,14,23,37995,1,5,1
accepted,1,1,36000,3,1,1,1,2016,3,14,23,49195,1,5,1
accepted,1,1,36000,3,1,1,1,2016,3,15,23,31995,0,5,1
unaccepted,1,1,36000,3,1,1,1,2016,3,15,25,32395,0,4,1
unaccepted,1,1,36000,3,1,1,1,2016,3,15,25,36395,0,4,1
accepted,1,1,36000,3,1,1,1,2016,3,17,28,24145,0,4,1
unaccepted,1,1,36000,3,1,1,1,2016,3,19,30,26995,0,5,1
unaccepted,1,1,36000,3,1,1,1,2016,3,22,31,25645,0,4,1
