brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Acura,TSX,2006,5400,Blue,w/A-Spec Pkg,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,167385,https://www.carproof.com/order?ref=kijiji&vin=jh4cl968x6c800641,jh4cl968x6c800641,https://i.ebayimg.com/00/s/Mzg4WDgwMA==/z/Y1UAAOSwx1dgSrri/$_27.PNG,"Old Kennedy Rd, Markham, ON L3R 0L5, Canada"
Nissan,Sentra,2019,16495,Black,SV |MOONROOF|HEATED SEATS|BACKUP CAMERA|BLUETOOTH,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,48567,https://reports.carproof.com/en/main?id=Ye6ArIHpTHZUaYh8xI1vNRIFEzL8U9M%2b&ref=kijiji,,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/2aEAAOSw5PRgH59y/$_27.JPG,"1599 Star Top Road, Ottawa, ON, K1B 5P5"
Mercedes-Benz,C-Class,2018,34995,White,C300|4MATIC|NAV|AMG PACKAGE|DUAL SUNROOF|LEATHER|+,Used,Sedan,All-wheel drive (AWD),Automatic,Other,63851,https://reports.carproof.com/en/main?id=tri%2b%2bxzKr2de%2feriyLx%2ff9FYa%2f11ri9l&ref=kijiji,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/vzoAAOSw-DtgRxSW/$_27.JPG,"100 Toro Road, North York, ON, M3J 2A9"
Honda,Other,2010,4999,Silver,Sport,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,136500,https://www.carproof.com/order?ref=kijiji&vin=2HGFA1E63AH035494,2HGFA1E63AH035494,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/4eoAAOSwSZ9gakUJ/$_27.JPG,"North York, ON M6A 2X3"
Dodge,Grand Caravan,2014,0,Silver,30th ANNIVERSARY EDITION,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Other,157001,https://www.carproof.com/order?ref=kijiji&vin=2c4rdgbg6er203177,2c4rdgbg6er203177,https://i.ebayimg.com/00/s/NjA1WDEyODA=/z/h2IAAOSw7MxgXkBU/$_27.JPG,"56 Martin Ross Ave., North York, ON, M3J 2L4"
Toyota,RAV4,2021,44363,Red,Limited,New,"SUV, Crossover",All-wheel drive (AWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/UXUAAOSwm~dgC0vZ/$_27.JPG,"2336 Saint Clair Avenue West, Toronto, ON, M6N 1K8"
Ram,1500,2021,79289,Black,Limited Longhorn,New,Pickup Truck,4 x 4,Automatic,Other,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/MTcAAOSwKhJgcCoa/$_27.JPG,"212 Lakeshore Road West, Mississauga, ON, L5H 1G6"
BMW,3-Series,2013,25000,Black,,Used,Convertible,,,,140000,,,https://i.ebayimg.com/00/s/MTMzNFg3NTA=/z/EXAAAOSwn0dgcEUP/$_27.JPG,"Toronto, ON M1B4K4"
Chevrolet,Cruze,2014,5990,Blue,"LT ~AUTOMATIC, LOADED, FULLY CERTIFIED~",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,148000,https://www.carproof.com/order?ref=kijiji&vin=1G1PC5SB6E7270942,1G1PC5SB6E7270942,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YKkAAOSwjhZgSyWJ/$_27.JPG,"1113 Finch Ave W., Toronto, ON, M3J 2E5"
Nissan,NV200,2021,29578,White,S,New,Other,Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/AGkAAOSwEshf7wct/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Nissan,Versa,2021,22768,Black,SR,New,Sedan,Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/3ywAAOSwtHxf0oUg/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Nissan,Versa,2021,21568,Red,SV,New,Sedan,Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/UkIAAOSw6rZfyiPg/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Nissan,Maxima,2021,46420,Black,SR,New,Sedan,Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/yQ0AAOSw3PlgInHg/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Nissan,Sentra,2021,27968,Black,SR,New,Sedan,Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/0jsAAOSw-mJf7wcx/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Nissan,Sentra,2021,26103,Grey,SR,New,Sedan,Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/owUAAOSw6N1f7wcu/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Hyundai,Santa Fe,2011,6495,Grey,AWD 4dr V6 Auto GL,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,178000,https://www.carproof.com/order?ref=kijiji&vin=5XYZGDAG6BG050517,5XYZGDAG6BG050517,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/nRYAAOSwVNZgErM3/$_27.JPG,"437 Simcoe Street S, Oshawa, ON, L1H 4J5"
Hyundai,Santa Fe,2012,7495,White,AWD 4dr V6 Auto GL,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,163000,https://www.carproof.com/order?ref=kijiji&vin=5XYZGDAGXCG113815,5XYZGDAGXCG113815,https://i.ebayimg.com/00/s/NzUwWDEwMjQ=/z/yC8AAOSw3thgEq9L/$_27.JPG,"437 Simcoe Street S, Oshawa, ON, L1H 4J5"
GMC,Savana,2016,22800,White,4500|Diesel|Cube Van|One Owner|Accident Free|,Used,Other,Rear-wheel drive (RWD),Automatic,Diesel,316500,https://www.carproof.com/order?ref=kijiji&vin=1GD67VCL3G1143999,1GD67VCL3G1143999,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/iP4AAOSwZr5gbs3h/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Bentley,Continental GTC,2007,79900,Blue,GTC Convertible|Accident Free|,Used,Convertible,All-wheel drive (AWD),Automatic,Other,94106,https://www.carproof.com/order?ref=kijiji&vin=SCBDR33W47C044426,SCBDR33W47C044426,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/93wAAOSwAHRgcCDU/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Other,Other,2011,15800,White,SE|Wheel Chair Accessibility|Leather|One Owner|,Used,Other,Rear-wheel drive (RWD),Automatic,Other,355614,https://www.carproof.com/order?ref=kijiji&vin=523MF1A69BM100242,523MF1A69BM100242,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/SGQAAOSwtyVgbs3M/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Volkswagen,Passat,2015,8800,Grey,HIGHLINE,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,260684,https://www.carproof.com/order?ref=kijiji&vin=1VWCV7A38FC076053,1VWCV7A38FC076053,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/RSEAAOSwto1gcCEi/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Nissan,Titan,2013,22800,White,PRO-4X|Back Up Cam|Sunroof|Accident Free|,Used,Pickup Truck,4 x 4,Automatic,Other,114014,https://www.carproof.com/order?ref=kijiji&vin=1N6AA0EC2DN314842,1N6AA0EC2DN314842,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/J0AAAOSwocZgbs59/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
